model_name,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,accuracy,precision,recall,f1_score
Tune-learning_rate=0.3,300,5,0.3,1.0,1.0,0,0.0,1,0.6264,0.3168,0.7348,0.4427
Tune-learning_rate=0.1,300,5,0.1,1.0,1.0,0,0.0,1,0.6048,0.3116,0.7917,0.4472
Tune-learning_rate=0.05,300,5,0.05,1.0,1.0,0,0.0,1,0.5975,0.3099,0.8098,0.4483
Tune-learning_rate=0.01,300,5,0.01,1.0,1.0,0,0.0,1,0.5809,0.3044,0.8367,0.4464
Tune-n_estimators=100,100,5,0.3,1.0,1.0,0,0.0,1,0.6054,0.3108,0.7838,0.4451
Tune-n_estimators=200,200,5,0.3,1.0,1.0,0,0.0,1,0.6166,0.3138,0.7574,0.4438
Tune-n_estimators=300,300,5,0.3,1.0,1.0,0,0.0,1,0.6264,0.3168,0.7348,0.4427
Tune-n_estimators=500,500,5,0.3,1.0,1.0,0,0.0,1,0.6282,0.3171,0.7292,0.442
Tune-n_estimators=800,800,5,0.3,1.0,1.0,0,0.0,1,0.6282,0.3171,0.7292,0.442
Tune-n_estimators=1000,1000,5,0.3,1.0,1.0,0,0.0,1,0.6282,0.3171,0.7292,0.442
Tune-n_estimators=1500,1500,5,0.3,1.0,1.0,0,0.0,1,0.6282,0.3171,0.7292,0.442
Tune-max_depth=3,500,3,0.3,1.0,1.0,0,0.0,1,0.6058,0.3103,0.7789,0.4438
Tune-max_depth=5,500,5,0.3,1.0,1.0,0,0.0,1,0.6282,0.3171,0.7292,0.442
Tune-max_depth=7,500,7,0.3,1.0,1.0,0,0.0,1,0.6502,0.3211,0.6573,0.4314
Tune-max_depth=9,500,9,0.3,1.0,1.0,0,0.0,1,0.6592,0.3212,0.6176,0.4226
Tune-subsample=0.6,500,9,0.3,0.6,1.0,0,0.0,1,0.6468,0.3163,0.6445,0.4243
Tune-subsample=0.7,500,9,0.3,0.7,1.0,0,0.0,1,0.656,0.3179,0.614,0.4189
Tune-subsample=0.8,500,9,0.3,0.8,1.0,0,0.0,1,0.6622,0.3191,0.5932,0.4149
Tune-subsample=0.9,500,9,0.3,0.9,1.0,0,0.0,1,0.6618,0.3196,0.5977,0.4165
Tune-subsample=1.0,500,9,0.3,1.0,1.0,0,0.0,1,0.6592,0.3212,0.6176,0.4226
Tune-colsample_bytree=0.5,500,9,0.3,0.8,0.5,0,0.0,1,0.6531,0.3208,0.6422,0.4278
Tune-colsample_bytree=0.7,500,9,0.3,0.8,0.7,0,0.0,1,0.6611,0.3231,0.6192,0.4246
Tune-colsample_bytree=0.9,500,9,0.3,0.8,0.9,0,0.0,1,0.6553,0.3217,0.6373,0.4275
Tune-colsample_bytree=1.0,500,9,0.3,0.8,1.0,0,0.0,1,0.6622,0.3191,0.5932,0.4149
Tune-gamma=0,500,9,0.3,0.8,1.0,0,0.0,1,0.6622,0.3191,0.5932,0.4149
Tune-gamma=1,500,9,0.3,0.8,1.0,1,0.0,1,0.6678,0.3249,0.5983,0.4211
Tune-gamma=5,500,9,0.3,0.8,1.0,5,0.0,1,0.6193,0.3136,0.7446,0.4413
Tune-gamma=10,500,9,0.3,0.8,1.0,10,0.0,1,0.5978,0.3102,0.8107,0.4488
Tune-reg_alpha=0,500,9,0.3,0.8,1.0,1,0.0,1,0.6678,0.3249,0.5983,0.4211
Tune-reg_alpha=0.1,500,9,0.3,0.8,1.0,1,0.1,1,0.6591,0.3211,0.6178,0.4226
Tune-reg_alpha=1,500,9,0.3,0.8,1.0,1,1.0,1,0.6662,0.3231,0.5963,0.4191
Tune-reg_alpha=5,500,9,0.3,0.8,1.0,1,5.0,1,0.6454,0.3149,0.6431,0.4228
Tune-reg_alpha=10,500,9,0.3,0.8,1.0,1,10.0,1,0.6396,0.317,0.6797,0.4323
Tune-reg_lambda=0,500,9,0.3,0.8,1.0,1,0.0,0,0.6504,0.3163,0.6293,0.421
Tune-reg_lambda=1,500,9,0.3,0.8,1.0,1,0.0,1,0.6678,0.3249,0.5983,0.4211
Tune-reg_lambda=5,500,9,0.3,0.8,1.0,1,0.0,5,0.6648,0.3219,0.5968,0.4182
Tune-reg_lambda=10,500,9,0.3,0.8,1.0,1,0.0,10,0.6587,0.3205,0.616,0.4216
Tune-reg_lambda=20,500,9,0.3,0.8,1.0,1,0.0,20,0.6529,0.3213,0.6463,0.4292
